Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
H1,Short,USD/JPY,3587955,1,2012-11-30 01:00,2012-11-30 16:00,82.1320,82.4640,-2.43,0.00,Reverse
H1,Long,EUR/USD,3589258,1,2012-11-30 14:00,2012-12-03 03:00,1.29812,1.30388,5.76,0.00,Reverse
H4,Short,SPX500,3586853,1,2012-11-29 14:00,2012-12-03 05:00,1415.40,1419.40,-3.48,0.00,Reverse
D1,Short,SPX500,3573614,1,2012-11-21 23:00,2012-12-03 05:00,1391.50,1419.40,-24.30,0.00,Reverse
H1,Short,SPX500,3588557,1,2012-11-30 07:00,2012-12-03 09:00,1415.40,1418.10,-2.35,0.00,Reverse
H1,Short,EUR/USD,3590260,1,2012-12-03 03:00,2012-12-03 12:00,1.30388,1.30281,1.07,0.00,Reverse
H4,Short,USD/JPY,3582439,1,2012-11-27 18:00,2012-12-03 13:00,82.1680,82.2550,-0.64,0.00,Reverse
H1,Long,USD/JPY,3589459,1,2012-11-30 16:00,2012-12-03 14:00,82.4640,82.2790,-1.36,0.00,Reverse
H1,Long,SPX500,3590863,1,2012-12-03 09:00,2012-12-03 15:00,1418.10,1421.40,2.87,0.00,Reverse
H1,Short,SPX500,3591467,1,2012-12-03 15:00,2012-12-03 17:00,1421.40,1418.40,2.61,0.00,Reverse
H4,Short,EUR/USD,3586051,1,2012-11-29 06:00,2012-12-03 21:00,1.29507,1.30541,-10.34,0.00,Reverse
H1,Short,USD/JPY,3591366,1,2012-12-03 14:00,2012-12-04 04:00,82.2790,82.1320,1.08,0.00,Reverse
D1,Short,USD/JPY,3568895,1,2012-11-19 23:00,2012-12-04 05:00,81.3320,82.1030,-5.65,0.00,Reverse
H1,Long,SPX500,3591668,1,2012-12-03 17:00,2012-12-04 05:00,1418.40,1405.40,-11.32,0.00,Reverse
H1,Long,EUR/USD,3591164,1,2012-12-03 12:00,2012-12-04 06:00,1.30281,1.30540,2.59,0.00,Reverse
